city_st,place_name,state_name,state_abbrev,population,state_fips,place_fips,NAME,place_name_raw
"East Hartford, CT",East Hartford,Connecticut,CT,50798,09,22700,"East Hartford CDP, Connecticut",East Hartford CDP
"East Haven, CT",East Haven,Connecticut,CT,27729,09,22980,"East Haven CDP, Connecticut",East Haven CDP
"Hartford, CT",Hartford,Connecticut,CT,119970,09,37000,"Hartford city, Connecticut",Hartford city
"Manchester, CT",Manchester,Connecticut,CT,36561,09,44690,"Manchester CDP, Connecticut",Manchester CDP
"Meriden, CT",Meriden,Connecticut,CT,60418,09,46450,"Meriden city, Connecticut",Meriden city
"Middletown, CT",Middletown,Connecticut,CT,47646,09,47290,"Middletown city, Connecticut",Middletown city
"Milford (balance), CT",Milford (balance),Connecticut,CT,50749,09,47515,"Milford city (balance), Connecticut",Milford city (balance)
"Naugatuck, CT",Naugatuck,Connecticut,CT,31634,09,49880,"Naugatuck borough, Connecticut",Naugatuck borough
"New Britain, CT",New Britain,Connecticut,CT,73301,09,50370,"New Britain city, Connecticut",New Britain city
"New Haven, CT",New Haven,Connecticut,CT,132893,09,52000,"New Haven city, Connecticut",New Haven city
"Newington, CT",Newington,Connecticut,CT,30551,09,52210,"Newington CDP, Connecticut",Newington CDP
"New London, CT",New London,Connecticut,CT,27199,09,52280,"New London city, Connecticut",New London city
"North Haven, CT",North Haven,Connecticut,CT,24177,09,54940,"North Haven CDP, Connecticut",North Haven CDP
"Norwalk, CT",Norwalk,Connecticut,CT,91375,09,55990,"Norwalk city, Connecticut",Norwalk city
"Norwich, CT",Norwich,Connecticut,CT,39992,09,56200,"Norwich city, Connecticut",Norwich city
"Shelton, CT",Shelton,Connecticut,CT,41402,09,68100,"Shelton city, Connecticut",Shelton city
"Stamford, CT",Stamford,Connecticut,CT,135806,09,73000,"Stamford city, Connecticut",Stamford city
"Torrington, CT",Torrington,Connecticut,CT,35481,09,76500,"Torrington city, Connecticut",Torrington city
"Waterbury, CT",Waterbury,Connecticut,CT,114356,09,80000,"Waterbury city, Connecticut",Waterbury city
"West Hartford, CT",West Hartford,Connecticut,CT,63809,09,82660,"West Hartford CDP, Connecticut",West Hartford CDP
"West Haven, CT",West Haven,Connecticut,CT,55147,09,82800,"West Haven city, Connecticut",West Haven city
"Wethersfield, CT",Wethersfield,Connecticut,CT,27180,09,84970,"Wethersfield CDP, Connecticut",Wethersfield CDP
"Bear, DE",Bear,Delaware,DE,22604,10,04130,"Bear CDP, Delaware",Bear CDP
"Dover, DE",Dover,Delaware,DE,39491,10,21200,"Dover city, Delaware",Dover city
"Middletown, DE",Middletown,Delaware,DE,24071,10,47030,"Middletown town, Delaware",Middletown town
"Newark, DE",Newark,Delaware,DE,30309,10,50670,"Newark city, Delaware",Newark city
"Wilmington, DE",Wilmington,Delaware,DE,71124,10,77580,"Wilmington city, Delaware",Wilmington city
"Washington, DC",Washington,District of Columbia,DC,672079,11,50000,"Washington city, District of Columbia",Washington city
"Alafaya, FL",Alafaya,Florida,FL,90874,12,00410,"Alafaya CDP, Florida",Alafaya CDP
"Altamonte Springs, FL",Altamonte Springs,Florida,FL,45657,12,00950,"Altamonte Springs city, Florida",Altamonte Springs city
"Apollo Beach, FL",Apollo Beach,Florida,FL,28347,12,01675,"Apollo Beach CDP, Florida",Apollo Beach CDP
"Apopka, FL",Apopka,Florida,FL,56202,12,01700,"Apopka city, Florida",Apopka city
"Aventura, FL",Aventura,Florida,FL,39372,12,02681,"Aventura city, Florida",Aventura city
"Bayonet Point, FL",Bayonet Point,Florida,FL,23787,12,04162,"Bayonet Point CDP, Florida",Bayonet Point CDP
"Bellview, FL",Bellview,Florida,FL,25051,12,05462,"Bellview CDP, Florida",Bellview CDP
"Bloomingdale, FL",Bloomingdale,Florida,FL,23979,12,06875,"Bloomingdale CDP, Florida",Bloomingdale CDP
"Boca Raton, FL",Boca Raton,Florida,FL,98833,12,07300,"Boca Raton city, Florida",Boca Raton city
"Bonita Springs, FL",Bonita Springs,Florida,FL,54830,12,07525,"Bonita Springs city, Florida",Bonita Springs city
"Boynton Beach, FL",Boynton Beach,Florida,FL,80601,12,07875,"Boynton Beach city, Florida",Boynton Beach city
"Bradenton, FL",Bradenton,Florida,FL,56289,12,07950,"Bradenton city, Florida",Bradenton city
"Brandon, FL",Brandon,Florida,FL,116365,12,08150,"Brandon CDP, Florida",Brandon CDP
"Brent, FL",Brent,Florida,FL,23441,12,08300,"Brent CDP, Florida",Brent CDP
"Buenaventura Lakes, FL",Buenaventura Lakes,Florida,FL,32310,12,09415,"Buenaventura Lakes CDP, Florida",Buenaventura Lakes CDP
"Cape Coral, FL",Cape Coral,Florida,FL,206387,12,10275,"Cape Coral city, Florida",Cape Coral city
"Carrollwood, FL",Carrollwood,Florida,FL,35645,12,10825,"Carrollwood CDP, Florida",Carrollwood CDP
"Casselberry, FL",Casselberry,Florida,FL,29473,12,11050,"Casselberry city, Florida",Casselberry city
"Citrus Park, FL",Citrus Park,Florida,FL,28163,12,12425,"Citrus Park CDP, Florida",Citrus Park CDP
"Clearwater, FL",Clearwater,Florida,FL,117075,12,12875,"Clearwater city, Florida",Clearwater city
"Clermont, FL",Clermont,Florida,FL,44984,12,12925,"Clermont city, Florida",Clermont city
"Coconut Creek, FL",Coconut Creek,Florida,FL,57587,12,13275,"Coconut Creek city, Florida",Coconut Creek city
"Cooper, FL",Cooper,Florida,FL,34166,12,14125,"Cooper City city, Florida",Cooper City city
"Coral Gables, FL",Coral Gables,Florida,FL,49243,12,14250,"Coral Gables city, Florida",Coral Gables city
"Coral Springs, FL",Coral Springs,Florida,FL,133962,12,14400,"Coral Springs city, Florida",Coral Springs city
"Coral Terrace, FL",Coral Terrace,Florida,FL,24051,12,14412,"Coral Terrace CDP, Florida",Coral Terrace CDP
"Country Club, FL",Country Club,Florida,FL,51000,12,14895,"Country Club CDP, Florida",Country Club CDP
"Crestview, FL",Crestview,Florida,FL,28046,12,15475,"Crestview city, Florida",Crestview city
"Cutler Bay, FL",Cutler Bay,Florida,FL,44483,12,15968,"Cutler Bay town, Florida",Cutler Bay town
"Dania Beach, FL",Dania Beach,Florida,FL,31739,12,16335,"Dania Beach city, Florida",Dania Beach city
"Davie, FL",Davie,Florida,FL,106412,12,16475,"Davie town, Florida",Davie town
"Daytona Beach, FL",Daytona Beach,Florida,FL,75924,12,16525,"Daytona Beach city, Florida",Daytona Beach city
"DeBary, FL",DeBary,Florida,FL,22602,12,16675,"DeBary city, Florida",DeBary city
"Deerfield Beach, FL",Deerfield Beach,Florida,FL,86742,12,16725,"Deerfield Beach city, Florida",Deerfield Beach city
"DeLand, FL",DeLand,Florida,FL,39832,12,16875,"DeLand city, Florida",DeLand city
"Delray Beach, FL",Delray Beach,Florida,FL,66940,12,17100,"Delray Beach city, Florida",Delray Beach city
"Deltona, FL",Deltona,Florida,FL,95682,12,17200,"Deltona city, Florida",Deltona city
"Doral, FL",Doral,Florida,FL,76490,12,17935,"Doral city, Florida",Doral city
"Dunedin, FL",Dunedin,Florida,FL,36060,12,18575,"Dunedin city, Florida",Dunedin city
"East Lake, FL",East Lake,Florida,FL,33019,12,19206,"East Lake CDP, Florida",East Lake CDP
"East Lake-Orient Park, FL",East Lake-Orient Park,Florida,FL,29064,12,19212,"East Lake-Orient Park CDP, Florida",East Lake-Orient Park CDP
"Edgewater, FL",Edgewater,Florida,FL,23314,12,19825,"Edgewater city, Florida",Edgewater city
"Egypt Lake-Leto, FL",Egypt Lake-Leto,Florida,FL,35709,12,20108,"Egypt Lake-Leto CDP, Florida",Egypt Lake-Leto CDP
"Ensley, FL",Ensley,Florida,FL,23036,12,20925,"Ensley CDP, Florida",Ensley CDP
"Estero, FL",Estero,Florida,FL,37258,12,21150,"Estero village, Florida",Estero village
"Eustis, FL",Eustis,Florida,FL,23567,12,21350,"Eustis city, Florida",Eustis city
"Ferry Pass, FL",Ferry Pass,Florida,FL,30467,12,22275,"Ferry Pass CDP, Florida",Ferry Pass CDP
"Fish Hawk, FL",Fish Hawk,Florida,FL,25945,12,22387,"Fish Hawk CDP, Florida",Fish Hawk CDP
"Fleming Island, FL",Fleming Island,Florida,FL,29351,12,22660,"Fleming Island CDP, Florida",Fleming Island CDP
"Florida Ridge, FL",Florida Ridge,Florida,FL,21517,12,23050,"Florida Ridge CDP, Florida",Florida Ridge CDP
"Fort Lauderdale, FL",Fort Lauderdale,Florida,FL,183032,12,24000,"Fort Lauderdale city, Florida",Fort Lauderdale city
"Fort Myers, FL",Fort Myers,Florida,FL,91730,12,24125,"Fort Myers city, Florida",Fort Myers city
"Fort Pierce, FL",Fort Pierce,Florida,FL,48094,12,24300,"Fort Pierce city, Florida",Fort Pierce city
"Fort Walton Beach, FL",Fort Walton Beach,Florida,FL,20956,12,24475,"Fort Walton Beach city, Florida",Fort Walton Beach city
"Fountainebleau, FL",Fountainebleau,Florida,FL,56453,12,24562,"Fountainebleau CDP, Florida",Fountainebleau CDP
"Four Corners, FL",Four Corners,Florida,FL,60443,12,24581,"Four Corners CDP, Florida",Four Corners CDP
"Fruit Cove, FL",Fruit Cove,Florida,FL,35609,12,24925,"Fruit Cove CDP, Florida",Fruit Cove CDP
"Gainesville, FL",Gainesville,Florida,FL,143611,12,25175,"Gainesville city, Florida",Gainesville city
"Golden Gate, FL",Golden Gate,Florida,FL,28767,12,26300,"Golden Gate CDP, Florida",Golden Gate CDP
"Golden Glades, FL",Golden Glades,Florida,FL,35042,12,26375,"Golden Glades CDP, Florida",Golden Glades CDP
"Greenacres, FL",Greenacres,Florida,FL,43871,12,27322,"Greenacres city, Florida",Greenacres city
"Groveland, FL",Groveland,Florida,FL,20621,12,27800,"Groveland city, Florida",Groveland city
"Haines, FL",Haines,Florida,FL,31156,12,28400,"Haines City city, Florida",Haines City city
"Hallandale Beach, FL",Hallandale Beach,Florida,FL,41224,12,28452,"Hallandale Beach city, Florida",Hallandale Beach city
"Hialeah, FL",Hialeah,Florida,FL,221901,12,30000,"Hialeah city, Florida",Hialeah city
"Hialeah Gardens, FL",Hialeah Gardens,Florida,FL,22634,12,30025,"Hialeah Gardens city, Florida",Hialeah Gardens city
"Holiday, FL",Holiday,Florida,FL,21768,12,31075,"Holiday CDP, Florida",Holiday CDP
"Hollywood, FL",Hollywood,Florida,FL,152935,12,32000,"Hollywood city, Florida",Hollywood city
"Homestead, FL",Homestead,Florida,FL,80725,12,32275,"Homestead city, Florida",Homestead city
"Horizon West, FL",Horizon West,Florida,FL,62152,12,32610,"Horizon West CDP, Florida",Horizon West CDP
"Hunters Creek, FL",Hunters Creek,Florida,FL,21255,12,32967,"Hunters Creek CDP, Florida",Hunters Creek CDP
"Immokalee, FL",Immokalee,Florida,FL,25624,12,33250,"Immokalee CDP, Florida",Immokalee CDP
"Ives Estates, FL",Ives Estates,Florida,FL,26154,12,34400,"Ives Estates CDP, Florida",Ives Estates CDP
"Jacksonville, FL",Jacksonville,Florida,FL,961739,12,35000,"Jacksonville city, Florida",Jacksonville city
"Jacksonville Beach, FL",Jacksonville Beach,Florida,FL,23601,12,35050,"Jacksonville Beach city, Florida",Jacksonville Beach city
"Jasmine Estates, FL",Jasmine Estates,Florida,FL,23151,12,35350,"Jasmine Estates CDP, Florida",Jasmine Estates CDP
"Jupiter, FL",Jupiter,Florida,FL,61097,12,35875,"Jupiter town, Florida",Jupiter town
"Kendale Lakes, FL",Kendale Lakes,Florida,FL,52141,12,36062,"Kendale Lakes CDP, Florida",Kendale Lakes CDP
"Kendall, FL",Kendall,Florida,FL,78527,12,36100,"Kendall CDP, Florida",Kendall CDP
"Kendall West, FL",Kendall West,Florida,FL,35492,12,36121,"Kendall West CDP, Florida",Kendall West CDP
"Keystone, FL",Keystone,Florida,FL,26723,12,36462,"Keystone CDP, Florida",Keystone CDP
"Key West, FL",Key West,Florida,FL,25824,12,36550,"Key West city, Florida",Key West city
"Kissimmee, FL",Kissimmee,Florida,FL,79504,12,36950,"Kissimmee city, Florida",Kissimmee city
"Lakeland, FL",Lakeland,Florida,FL,117030,12,38250,"Lakeland city, Florida",Lakeland city
"Lake Magdalene, FL",Lake Magdalene,Florida,FL,31733,12,38350,"Lake Magdalene CDP, Florida",Lake Magdalene CDP
"Lakeside, FL",Lakeside,Florida,FL,31548,12,38813,"Lakeside CDP, Florida",Lakeside CDP
"Lakewood Ranch, FL",Lakewood Ranch,Florida,FL,39434,12,39067,"Lakewood Ranch CDP, Florida",Lakewood Ranch CDP
"Lake Worth Beach, FL",Lake Worth Beach,Florida,FL,42650,12,39081,"Lake Worth Beach city, Florida",Lake Worth Beach city
"Land O' Lakes, FL",Land O' Lakes,Florida,FL,41845,12,39200,"Land O' Lakes CDP, Florida",Land O' Lakes CDP
"Largo, FL",Largo,Florida,FL,82506,12,39425,"Largo city, Florida",Largo city
"Lauderdale Lakes, FL",Lauderdale Lakes,Florida,FL,35924,12,39525,"Lauderdale Lakes city, Florida",Lauderdale Lakes city
"Lauderhill, FL",Lauderhill,Florida,FL,73961,12,39550,"Lauderhill city, Florida",Lauderhill city
"Lealman, FL",Lealman,Florida,FL,21026,12,39775,"Lealman CDP, Florida",Lealman CDP
"Leesburg, FL",Leesburg,Florida,FL,28461,12,39875,"Leesburg city, Florida",Leesburg city
"Lehigh Acres, FL",Lehigh Acres,Florida,FL,127391,12,39925,"Lehigh Acres CDP, Florida",Lehigh Acres CDP
"Leisure, FL",Leisure,Florida,FL,26917,12,39950,"Leisure City CDP, Florida",Leisure City CDP
"Liberty Triangle, FL",Liberty Triangle,Florida,FL,24178,12,40387,"Liberty Triangle CDP, Florida",Liberty Triangle CDP
"Lutz, FL",Lutz,Florida,FL,26731,12,41775,"Lutz CDP, Florida",Lutz CDP
"Margate, FL",Margate,Florida,FL,58418,12,43125,"Margate city, Florida",Margate city
"Marion Oaks, FL",Marion Oaks,Florida,FL,22296,12,43300,"Marion Oaks CDP, Florida",Marion Oaks CDP
"Meadow Woods, FL",Meadow Woods,Florida,FL,40741,12,43800,"Meadow Woods CDP, Florida",Meadow Woods CDP
"Melbourne, FL",Melbourne,Florida,FL,85718,12,43975,"Melbourne city, Florida",Melbourne city
"Merritt Island, FL",Merritt Island,Florida,FL,34718,12,44275,"Merritt Island CDP, Florida",Merritt Island CDP
"Miami, FL",Miami,Florida,FL,446663,12,45000,"Miami city, Florida",Miami city
"Miami Beach, FL",Miami Beach,Florida,FL,81319,12,45025,"Miami Beach city, Florida",Miami Beach city
"Miami Gardens, FL",Miami Gardens,Florida,FL,111264,12,45060,"Miami Gardens city, Florida",Miami Gardens city
"Miami Lakes, FL",Miami Lakes,Florida,FL,30731,12,45100,"Miami Lakes town, Florida",Miami Lakes town
"Midway (Santa Rosa County), FL",Midway (Santa Rosa County),Florida,FL,20745,12,45465,"Midway CDP (Santa Rosa County), Florida",Midway CDP (Santa Rosa County)
"Miramar, FL",Miramar,Florida,FL,135986,12,45975,"Miramar city, Florida",Miramar city
"Navarre, FL",Navarre,Florida,FL,38988,12,48050,"Navarre CDP, Florida",Navarre CDP
"New Smyrna Beach, FL",New Smyrna Beach,Florida,FL,31212,12,48625,"New Smyrna Beach city, Florida",New Smyrna Beach city
"Nocatee, FL",Nocatee,Florida,FL,25581,12,48850,"Nocatee CDP, Florida",Nocatee CDP
"Northdale, FL",Northdale,Florida,FL,25420,12,49260,"Northdale CDP, Florida",Northdale CDP
"North Fort Myers, FL",North Fort Myers,Florida,FL,44189,12,49350,"North Fort Myers CDP, Florida",North Fort Myers CDP
"North Lauderdale, FL",North Lauderdale,Florida,FL,44650,12,49425,"North Lauderdale city, Florida",North Lauderdale city
"North Miami, FL",North Miami,Florida,FL,59429,12,49450,"North Miami city, Florida",North Miami city
"North Miami Beach, FL",North Miami Beach,Florida,FL,43104,12,49475,"North Miami Beach city, Florida",North Miami Beach city
"North Port, FL",North Port,Florida,FL,80512,12,49675,"North Port city, Florida",North Port city
"Oakland Park, FL",Oakland Park,Florida,FL,44015,12,50575,"Oakland Park city, Florida",Oakland Park city
"Oakleaf Plantation, FL",Oakleaf Plantation,Florida,FL,30737,12,50630,"Oakleaf Plantation CDP, Florida",Oakleaf Plantation CDP
"Oak Ridge, FL",Oak Ridge,Florida,FL,24395,12,50638,"Oak Ridge CDP, Florida",Oak Ridge CDP
"Ocala, FL",Ocala,Florida,FL,64903,12,50750,"Ocala city, Florida",Ocala city
"Ocoee, FL",Ocoee,Florida,FL,47885,12,51075,"Ocoee city, Florida",Ocoee city
"Orlando, FL",Orlando,Florida,FL,311732,12,53000,"Orlando city, Florida",Orlando city
"Ormond Beach, FL",Ormond Beach,Florida,FL,43514,12,53150,"Ormond Beach city, Florida",Ormond Beach city
"Oviedo, FL",Oviedo,Florida,FL,39990,12,53575,"Oviedo city, Florida",Oviedo city
"Pace, FL",Pace,Florida,FL,25630,12,53725,"Pace CDP, Florida",Pace CDP
"Palm Bay, FL",Palm Bay,Florida,FL,125273,12,54000,"Palm Bay city, Florida",Palm Bay city
"Palm Beach Gardens, FL",Palm Beach Gardens,Florida,FL,59751,12,54075,"Palm Beach Gardens city, Florida",Palm Beach Gardens city
"Palm, FL",Palm,Florida,FL,25699,12,54175,"Palm City CDP, Florida",Palm City CDP
"Palm Coast, FL",Palm Coast,Florida,FL,94362,12,54200,"Palm Coast city, Florida",Palm Coast city
"Palmetto Bay, FL",Palmetto Bay,Florida,FL,24247,12,54275,"Palmetto Bay village, Florida",Palmetto Bay village
"Palm Harbor, FL",Palm Harbor,Florida,FL,61454,12,54350,"Palm Harbor CDP, Florida",Palm Harbor CDP
"Palm River-Clair Mel, FL",Palm River-Clair Mel,Florida,FL,26719,12,54387,"Palm River-Clair Mel CDP, Florida",Palm River-Clair Mel CDP
"Palm Springs, FL",Palm Springs,Florida,FL,26871,12,54450,"Palm Springs village, Florida",Palm Springs village
"Panama, FL",Panama,Florida,FL,34211,12,54700,"Panama City city, Florida",Panama City city
"Parkland, FL",Parkland,Florida,FL,35799,12,55125,"Parkland city, Florida",Parkland city
"Pembroke Pines, FL",Pembroke Pines,Florida,FL,170557,12,55775,"Pembroke Pines city, Florida",Pembroke Pines city
"Pensacola, FL",Pensacola,Florida,FL,54011,12,55925,"Pensacola city, Florida",Pensacola city
"Pine Hills, FL",Pine Hills,Florida,FL,82264,12,56825,"Pine Hills CDP, Florida",Pine Hills CDP
"Pinellas Park, FL",Pinellas Park,Florida,FL,53423,12,56975,"Pinellas Park city, Florida",Pinellas Park city
"Plantation, FL",Plantation,Florida,FL,94002,12,57425,"Plantation city, Florida",Plantation city
"Plant, FL",Plant,Florida,FL,40009,12,57550,"Plant City city, Florida",Plant City city
"Poinciana, FL",Poinciana,Florida,FL,71665,12,57900,"Poinciana CDP, Florida",Poinciana CDP
"Pompano Beach, FL",Pompano Beach,Florida,FL,112212,12,58050,"Pompano Beach city, Florida",Pompano Beach city
"Port Charlotte, FL",Port Charlotte,Florida,FL,64971,12,58350,"Port Charlotte CDP, Florida",Port Charlotte CDP
"Port Orange, FL",Port Orange,Florida,FL,63818,12,58575,"Port Orange city, Florida",Port Orange city
"Port St. John, FL",Port St. John,Florida,FL,24617,12,58700,"Port St. John CDP, Florida",Port St. John CDP
"Port St. Lucie, FL",Port St. Lucie,Florida,FL,220453,12,58715,"Port St. Lucie city, Florida",Port St. Lucie city
"Princeton, FL",Princeton,Florida,FL,41476,12,58975,"Princeton CDP, Florida",Princeton CDP
"Richmond West, FL",Richmond West,Florida,FL,35988,12,60230,"Richmond West CDP, Florida",Richmond West CDP
"Riverview, FL",Riverview,Florida,FL,107776,12,60950,"Riverview CDP, Florida",Riverview CDP
"Riviera Beach, FL",Riviera Beach,Florida,FL,38032,12,60975,"Riviera Beach city, Florida",Riviera Beach city
"Rockledge, FL",Rockledge,Florida,FL,28279,12,61500,"Rockledge city, Florida",Rockledge city
"Royal Palm Beach, FL",Royal Palm Beach,Florida,FL,39089,12,62100,"Royal Palm Beach village, Florida",Royal Palm Beach village
"Ruskin, FL",Ruskin,Florida,FL,30074,12,62275,"Ruskin CDP, Florida",Ruskin CDP
"St. Cloud, FL",St. Cloud,Florida,FL,61963,12,62625,"St. Cloud city, Florida",St. Cloud city
"St. Petersburg, FL",St. Petersburg,Florida,FL,260646,12,63000,"St. Petersburg city, Florida",St. Petersburg city
"Sanford, FL",Sanford,Florida,FL,62292,12,63650,"Sanford city, Florida",Sanford city
"Sarasota, FL",Sarasota,Florida,FL,56218,12,64175,"Sarasota city, Florida",Sarasota city
"Sebastian, FL",Sebastian,Florida,FL,25759,12,64825,"Sebastian city, Florida",Sebastian city
"Silver Springs Shores, FL",Silver Springs Shores,Florida,FL,27556,12,66175,"Silver Springs Shores CDP, Florida",Silver Springs Shores CDP
"South Bradenton, FL",South Bradenton,Florida,FL,25585,12,67258,"South Bradenton CDP, Florida",South Bradenton CDP
"South Miami Heights, FL",South Miami Heights,Florida,FL,37525,12,67575,"South Miami Heights CDP, Florida",South Miami Heights CDP
"Spring Hill, FL",Spring Hill,Florida,FL,118814,12,68350,"Spring Hill CDP, Florida",Spring Hill CDP
"Sun Center, FL",Sun Center,Florida,FL,31801,12,69250,"Sun City Center CDP, Florida",Sun City Center CDP
"Sunny Isles Beach, FL",Sunny Isles Beach,Florida,FL,22125,12,69555,"Sunny Isles Beach city, Florida",Sunny Isles Beach city
"Sunrise, FL",Sunrise,Florida,FL,96633,12,69700,"Sunrise city, Florida",Sunrise city
"Tallahassee, FL",Tallahassee,Florida,FL,199696,12,70600,"Tallahassee city, Florida",Tallahassee city
"Tamarac, FL",Tamarac,Florida,FL,71887,12,70675,"Tamarac city, Florida",Tamarac city
"Tamiami, FL",Tamiami,Florida,FL,51201,12,70700,"Tamiami CDP, Florida",Tamiami CDP
"Tampa, FL",Tampa,Florida,FL,393389,12,71000,"Tampa city, Florida",Tampa city
"Tarpon Springs, FL",Tarpon Springs,Florida,FL,25522,12,71150,"Tarpon Springs city, Florida",Tarpon Springs city
"Temple Terrace, FL",Temple Terrace,Florida,FL,26922,12,71400,"Temple Terrace city, Florida",Temple Terrace city
"The Acreage, FL",The Acreage,Florida,FL,40188,12,71564,"The Acreage CDP, Florida",The Acreage CDP
"The Crossings, FL",The Crossings,Florida,FL,22359,12,71567,"The Crossings CDP, Florida",The Crossings CDP
"The Hammocks, FL",The Hammocks,Florida,FL,58548,12,71569,"The Hammocks CDP, Florida",The Hammocks CDP
"The Villages, FL",The Villages,Florida,FL,82108,12,71625,"The Villages CDP, Florida",The Villages CDP
"Titusville, FL",Titusville,Florida,FL,49004,12,71900,"Titusville city, Florida",Titusville city
"'n' Country, FL",'n' Country,Florida,FL,86544,12,72145,"Town 'n' Country CDP, Florida",Town 'n' Country CDP
"University (Hillsborough County), FL",University (Hillsborough County),Florida,FL,48868,12,73163,"University CDP (Hillsborough County), Florida",University CDP (Hillsborough County)
"University (Orange County), FL",University (Orange County),Florida,FL,42481,12,73172,"University CDP (Orange County), Florida",University CDP (Orange County)
"Valrico, FL",Valrico,Florida,FL,38820,12,73700,"Valrico CDP, Florida",Valrico CDP
"Venice, FL",Venice,Florida,FL,26467,12,73900,"Venice city, Florida",Venice city
"Vero Beach South, FL",Vero Beach South,Florida,FL,29365,12,74200,"Vero Beach South CDP, Florida",Vero Beach South CDP
"Wekiwa Springs, FL",Wekiwa Springs,Florida,FL,24109,12,75725,"Wekiwa Springs CDP, Florida",Wekiwa Springs CDP
"Wellington, FL",Wellington,Florida,FL,61497,12,75812,"Wellington village, Florida",Wellington village
"Wesley Chapel, FL",Wesley Chapel,Florida,FL,71965,12,75875,"Wesley Chapel CDP, Florida",Wesley Chapel CDP
"Westchase, FL",Westchase,Florida,FL,24818,12,76062,"Westchase CDP, Florida",Westchase CDP
"Westchester, FL",Westchester,Florida,FL,53082,12,76075,"Westchester CDP, Florida",Westchester CDP
"West Little River, FL",West Little River,Florida,FL,33147,12,76487,"West Little River CDP, Florida",West Little River CDP
"West Melbourne, FL",West Melbourne,Florida,FL,27643,12,76500,"West Melbourne city, Florida",West Melbourne city
"Weston, FL",Weston,Florida,FL,67952,12,76582,"Weston city, Florida",Weston city
"West Palm Beach, FL",West Palm Beach,Florida,FL,119508,12,76600,"West Palm Beach city, Florida",West Palm Beach city
"West Pensacola, FL",West Pensacola,Florida,FL,20679,12,76675,"West Pensacola CDP, Florida",West Pensacola CDP
"Winter Garden, FL",Winter Garden,Florida,FL,47182,12,78250,"Winter Garden city, Florida",Winter Garden city
"Winter Haven, FL",Winter Haven,Florida,FL,52846,12,78275,"Winter Haven city, Florida",Winter Haven city
"Winter Park, FL",Winter Park,Florida,FL,29929,12,78300,"Winter Park city, Florida",Winter Park city
"Winter Springs, FL",Winter Springs,Florida,FL,38448,12,78325,"Winter Springs city, Florida",Winter Springs city
"World Golf, FL",World Golf,Florida,FL,24485,12,78740,"World Golf Village CDP, Florida",World Golf Village CDP
"Wright, FL",Wright,Florida,FL,27233,12,78800,"Wright CDP, Florida",Wright CDP
"Acworth, GA",Acworth,Georgia,GA,22370,13,00408,"Acworth city, Georgia",Acworth city
"Albany, GA",Albany,Georgia,GA,67939,13,01052,"Albany city, Georgia",Albany city
"Alpharetta, GA",Alpharetta,Georgia,GA,66355,13,01696,"Alpharetta city, Georgia",Alpharetta city
"Athens-Clarke County unified government (balance), GA",Athens-Clarke County unified government (balance),Georgia,GA,126987,13,03440,"Athens-Clarke County unified government (balance), Georgia",Athens-Clarke County unified government (balance)
"Atlanta, GA",Atlanta,Georgia,GA,499287,13,04000,"Atlanta city, Georgia",Atlanta city
"Augusta-Richmond County consolidated government (balance), GA",Augusta-Richmond County consolidated government (balance),Georgia,GA,201504,13,04204,"Augusta-Richmond County consolidated government (balance), Georgia",Augusta-Richmond County consolidated government (balance)
"Brookhaven, GA",Brookhaven,Georgia,GA,57224,13,10944,"Brookhaven city, Georgia",Brookhaven city
"Candler-McAfee, GA",Candler-McAfee,Georgia,GA,21316,13,12834,"Candler-McAfee CDP, Georgia",Candler-McAfee CDP
"Canton, GA",Canton,Georgia,GA,34587,13,12988,"Canton city, Georgia",Canton city
"Carrollton, GA",Carrollton,Georgia,GA,27058,13,13492,"Carrollton city, Georgia",Carrollton city
"Cartersville, GA",Cartersville,Georgia,GA,23617,13,13688,"Cartersville city, Georgia",Cartersville city
"Chamblee, GA",Chamblee,Georgia,GA,30369,13,15172,"Chamblee city, Georgia",Chamblee city
"Columbus, GA",Columbus,Georgia,GA,204383,13,19000,"Columbus city, Georgia",Columbus city
"Dalton, GA",Dalton,Georgia,GA,34402,13,21380,"Dalton city, Georgia",Dalton city
"Decatur, GA",Decatur,Georgia,GA,24470,13,22052,"Decatur city, Georgia",Decatur city
"Douglasville, GA",Douglasville,Georgia,GA,36284,13,23900,"Douglasville city, Georgia",Douglasville city
"Duluth, GA",Duluth,Georgia,GA,31958,13,24600,"Duluth city, Georgia",Duluth city
"Dunwoody, GA",Dunwoody,Georgia,GA,51563,13,24768,"Dunwoody city, Georgia",Dunwoody city
"East Point, GA",East Point,Georgia,GA,38233,13,25720,"East Point city, Georgia",East Point city
"Evans, GA",Evans,Georgia,GA,37718,13,28044,"Evans CDP, Georgia",Evans CDP
"Gainesville, GA",Gainesville,Georgia,GA,44051,13,31908,"Gainesville city, Georgia",Gainesville city
"Griffin, GA",Griffin,Georgia,GA,23650,13,35324,"Griffin city, Georgia",Griffin city
"Hinesville, GA",Hinesville,Georgia,GA,35282,13,38964,"Hinesville city, Georgia",Hinesville city
"Johns Creek, GA",Johns Creek,Georgia,GA,82115,13,42425,"Johns Creek city, Georgia",Johns Creek city
"Kennesaw, GA",Kennesaw,Georgia,GA,33627,13,43192,"Kennesaw city, Georgia",Kennesaw city
"LaGrange, GA",LaGrange,Georgia,GA,31479,13,44340,"LaGrange city, Georgia",LaGrange city
